x,y,T
-0.46000,-0.05000,  4.6465588245E-01
-0.46000,-0.04000,  4.6325398334E-01
-0.46000,-0.03000,  4.6207721207E-01
-0.46000,-0.02000,  4.6113350888E-01
-0.46000,-0.01000,  4.6043407516E-01
-0.46000, 0.00000,  4.6000000000E-01
-0.46000, 0.01000,  4.6043407516E-01
-0.46000, 0.02000,  4.6113350888E-01
-0.46000, 0.03000,  4.6207721207E-01
-0.46000, 0.04000,  4.6325398334E-01
-0.46000, 0.05000,  4.6465588245E-01
-0.46000, 0.06000,  4.6627640616E-01
-0.46000, 0.07000,  4.6810977758E-01
-0.46000, 0.08000,  4.7015061581E-01
-0.46000, 0.09000,  4.7239376586E-01
-0.46000, 0.10000,  4.7483420570E-01
-0.46000, 0.11000,  4.7746699420E-01
-0.46000, 0.12000,  4.8028724200E-01
-0.46000, 0.13000,  4.8329009600E-01
-0.46000, 0.14000,  4.8647073199E-01
-0.46000, 0.15000,  4.8982435239E-01
-0.46000, 0.16000,  4.9334618701E-01
-0.46000, 0.17000,  4.9703149564E-01
-0.46000, 0.18000,  5.0087557170E-01
-0.46000, 0.19000,  5.0487374620E-01
-0.46000, 0.20000,  5.0902139195E-01
-0.46000, 0.21000,  5.1331392747E-01
-0.46000, 0.22000,  5.1774682070E-01
-0.46000, 0.23000,  5.2231559221E-01
-0.46000, 0.24000,  5.2701581796E-01
-0.46000, 0.25000,  5.3184313160E-01
-0.46000, 0.26000,  5.3679322616E-01
-0.46000, 0.27000,  5.4186185538E-01
-0.46000, 0.28000,  5.4704483440E-01
-0.46000, 0.29000,  5.5233804016E-01
-0.46000, 0.30000,  5.5773741133E-01
-0.46000, 0.31000,  5.6323894785E-01
-0.46000, 0.32000,  5.6883871024E-01
-0.46000, 0.33000,  5.7453281868E-01
-0.46000, 0.34000,  5.8031745180E-01
-0.46000, 0.35000,  5.8618884555E-01
-0.46000, 0.36000,  5.9214329182E-01
-0.46000, 0.37000,  5.9817713733E-01
-0.46000, 0.38000,  6.0428678244E-01
-0.46000, 0.39000,  6.1046868031E-01
-0.46000, 0.40000,  6.1671933628E-01
-0.46000, 0.41000,  6.2303530766E-01
-0.46000, 0.42000,  6.2941320398E-01
-0.46000, 0.43000,  6.3584968773E-01
-0.46000, 0.44000,  6.4234147582E-01
-0.46000, 0.45000,  6.4888534157E-01
-0.46000, 0.46000,  6.5547811752E-01
-0.46000, 0.47000,  6.6211669893E-01
-0.46000, 0.48000,  6.6879804806E-01
-0.46000, 0.49000,  6.7551919907E-01
-0.46000, 0.50000,  6.8227726368E-01
-0.45000,-0.50000,  6.7490647249E-01
-0.45000,-0.49000,  6.6811473224E-01
-0.45000,-0.48000,  6.6135764660E-01
-0.45000,-0.47000,  6.5463811372E-01
-0.45000,-0.46000,  6.4795912122E-01
-0.45000,-0.45000,  6.4132373982E-01
-0.45000,-0.44000,  6.3473511747E-01
-0.45000,-0.43000,  6.2819647424E-01
-0.45000,-0.42000,  6.2171109786E-01
-0.45000,-0.41000,  6.1528234013E-01
-0.45000,-0.40000,  6.0891361402E-01
-0.45000,-0.39000,  6.0260839159E-01
-0.45000,-0.38000,  5.9637020258E-01
-0.45000,-0.37000,  5.9020263369E-01
-0.45000,-0.36000,  5.8410932832E-01
-0.45000,-0.35000,  5.7809398696E-01
-0.45000,-0.34000,  5.7216036779E-01
-0.45000,-0.33000,  5.6631228772E-01
-0.45000,-0.32000,  5.6055362357E-01
-0.45000,-0.31000,  5.5488831338E-01
-0.45000,-0.30000,  5.4932035775E-01
-0.45000,-0.29000,  5.4385382112E-01
-0.45000,-0.28000,  5.3849283296E-01
-0.45000,-0.27000,  5.3324158868E-01
-0.45000,-0.26000,  5.2810435030E-01
-0.45000,-0.25000,  5.2308544680E-01
-0.45000,-0.24000,  5.1818927403E-01
-0.45000,-0.23000,  5.1342029419E-01
-0.45000,-0.22000,  5.0878303481E-01
-0.45000,-0.21000,  5.0428208720E-01
-0.45000,-0.20000,  4.9992210435E-01
-0.45000,-0.19000,  4.9570779832E-01
-0.45000,-0.18000,  4.9164393700E-01
-0.45000,-0.17000,  4.8773534051E-01
-0.45000,-0.16000,  4.8398687715E-01
-0.45000,-0.15000,  4.8040345911E-01
-0.45000,-0.14000,  4.7699003820E-01
-0.45000,-0.13000,  4.7375160199E-01
-0.45000,-0.12000,  4.7069317079E-01
-0.45000,-0.11000,  4.6781979643E-01
-0.45000,-0.10000,  4.6513656406E-01
-0.45000,-0.09000,  4.6264859896E-01
-0.45000,-0.08000,  4.6036108164E-01
-0.45000,-0.07000,  4.5827927661E-01
-0.45000,-0.06000,  4.5640858457E-01
-0.45000,-0.05000,  4.5475463612E-01
-0.45000,-0.04000,  4.5332346425E-01
-0.45000,-0.03000,  4.5212184044E-01
-0.45000,-0.02000,  4.5115799924E-01
-0.45000,-0.01000,  4.5044350067E-01
-0.45000, 0.00000,  4.5000000000E-01
-0.45000, 0.01000,  4.5044350067E-01
-0.45000, 0.02000,  4.5115799924E-01
-0.45000, 0.03000,  4.5212184044E-01
-0.45000, 0.04000,  4.5332346425E-01
-0.45000, 0.05000,  4.5475463612E-01
-0.45000, 0.06000,  4.5640858457E-01
-0.45000, 0.07000,  4.5827927661E-01
-0.45000, 0.08000,  4.6036108164E-01
-0.45000, 0.09000,  4.6264859896E-01
-0.45000, 0.10000,  4.6513656406E-01
-0.45000, 0.11000,  4.6781979643E-01
-0.45000, 0.12000,  4.7069317079E-01
-0.45000, 0.13000,  4.7375160199E-01
-0.45000, 0.14000,  4.7699003820E-01
-0.45000, 0.15000,  4.8040345911E-01
-0.45000, 0.16000,  4.8398687715E-01
-0.45000, 0.17000,  4.8773534051E-01
-0.45000, 0.18000,  4.9164393700E-01
-0.45000, 0.19000,  4.9570779832E-01
-0.45000, 0.20000,  4.9992210435E-01
-0.45000, 0.21000,  5.0428208720E-01
-0.45000, 0.22000,  5.0878303481E-01
-0.45000, 0.23000,  5.1342029419E-01
-0.45000, 0.24000,  5.1818927403E-01
-0.45000, 0.25000,  5.2308544680E-01
-0.45000, 0.26000,  5.2810435030E-01
-0.45000, 0.27000,  5.3324158868E-01
-0.45000, 0.28000,  5.3849283296E-01
-0.45000, 0.29000,  5.4385382112E-01
-0.45000, 0.30000,  5.4932035775E-01
-0.45000, 0.31000,  5.5488831338E-01
-0.45000, 0.32000,  5.6055362357E-01
-0.45000, 0.33000,  5.6631228772E-01
-0.45000, 0.34000,  5.7216036779E-01
-0.45000, 0.35000,  5.7809398696E-01
-0.45000, 0.36000,  5.8410932832E-01
-0.45000, 0.37000,  5.9020263369E-01
-0.45000, 0.38000,  5.9637020258E-01
-0.45000, 0.39000,  6.0260839159E-01
-0.45000, 0.40000,  6.0891361402E-01
-0.45000, 0.41000,  6.1528234013E-01
-0.45000, 0.42000,  6.2171109786E-01
-0.45000, 0.43000,  6.2819647424E-01
-0.45000, 0.44000,  6.3473511747E-01
-0.45000, 0.45000,  6.4132373982E-01
-0.45000, 0.46000,  6.4795912122E-01
-0.45000, 0.47000,  6.5463811372E-01
-0.45000, 0.48000,  6.6135764660E-01
-0.45000, 0.49000,  6.6811473224E-01
-0.45000, 0.50000,  6.7490647249E-01
-0.44000,-0.50000,  6.6756669972E-01
