x,y,T
-0.46000, 0.08000,  5.3043971997E-01
-0.46000, 0.09000,  5.4043971997E-01
-0.46000, 0.10000,  5.5043971997E-01
-0.46000, 0.11000,  5.6043971997E-01
-0.46000, 0.12000,  5.7043971997E-01
-0.46000, 0.13000,  5.8043971997E-01
-0.46000, 0.14000,  5.9043971997E-01
-0.46000, 0.15000,  6.0043971997E-01
-0.46000, 0.16000,  6.1043971997E-01
-0.46000, 0.17000,  6.2043971997E-01
-0.46000, 0.18000,  6.3043971997E-01
-0.46000, 0.19000,  6.4043971997E-01
-0.46000, 0.20000,  6.5043971997E-01
-0.46000, 0.21000,  6.6043971997E-01
-0.46000, 0.22000,  6.7043971997E-01
-0.46000, 0.23000,  6.8043971997E-01
-0.46000, 0.24000,  6.9043971997E-01
-0.46000, 0.25000,  7.0043971997E-01
-0.46000, 0.26000,  7.1043971997E-01
-0.46000, 0.27000,  7.2043971997E-01
-0.46000, 0.28000,  7.3043971997E-01
-0.46000, 0.29000,  7.4043971997E-01
-0.46000, 0.30000,  7.5043971997E-01
-0.46000, 0.31000,  7.6043971997E-01
-0.46000, 0.32000,  7.7043971997E-01
-0.46000, 0.33000,  7.8043971997E-01
-0.46000, 0.34000,  7.9043971997E-01
-0.46000, 0.35000,  8.0043971997E-01
-0.46000, 0.36000,  8.1043971997E-01
-0.46000, 0.37000,  8.2043971997E-01
-0.46000, 0.38000,  8.3043971997E-01
-0.46000, 0.39000,  8.4043971997E-01
-0.46000, 0.40000,  8.5043971997E-01
-0.46000, 0.41000,  8.6043971997E-01
-0.46000, 0.42000,  8.7043971997E-01
-0.46000, 0.43000,  8.8043971997E-01
-0.46000, 0.44000,  8.9043971997E-01
-0.46000, 0.45000,  9.0043971997E-01
-0.46000, 0.46000,  9.1043971997E-01
-0.46000, 0.47000,  9.2043971997E-01
-0.46000, 0.48000,  9.3043971997E-01
-0.46000, 0.49000,  9.4043971997E-01
-0.46000, 0.50000,  9.5043971997E-01
-0.45000,-0.50000,  9.4044939233E-01
-0.45000,-0.49000,  9.3044939233E-01
-0.45000,-0.48000,  9.2044939233E-01
-0.45000,-0.47000,  9.1044939233E-01
-0.45000,-0.46000,  9.0044939233E-01
-0.45000,-0.45000,  8.9044939233E-01
-0.45000,-0.44000,  8.8044939233E-01
-0.45000,-0.43000,  8.7044939233E-01
-0.45000,-0.42000,  8.6044939233E-01
-0.45000,-0.41000,  8.5044939233E-01
-0.45000,-0.40000,  8.4044939233E-01
-0.45000,-0.39000,  8.3044939233E-01
-0.45000,-0.38000,  8.2044939233E-01
-0.45000,-0.37000,  8.1044939233E-01
-0.45000,-0.36000,  8.0044939233E-01
-0.45000,-0.35000,  7.9044939233E-01
-0.45000,-0.34000,  7.8044939233E-01
-0.45000,-0.33000,  7.7044939233E-01
-0.45000,-0.32000,  7.6044939233E-01
-0.45000,-0.31000,  7.5044939233E-01
-0.45000,-0.30000,  7.4044939233E-01
-0.45000,-0.29000,  7.3044939233E-01
-0.45000,-0.28000,  7.2044939233E-01
-0.45000,-0.27000,  7.1044939233E-01
-0.45000,-0.26000,  7.0044939233E-01
-0.45000,-0.25000,  6.9044939233E-01
-0.45000,-0.24000,  6.8044939233E-01
