idx,x,y,z,K_approx,K_exact,abs_err
310,8.234614E-01,************,************,1.184424E+00,1.000000E+00,1.844243E-01
311,************,************,************,1.184288E+00,1.000000E+00,1.842882E-01
312,2.134285E-01,8.013003E-01,************,1.184201E+00,1.000000E+00,1.842007E-01
313,3.823208E-01,************,************,1.181663E+00,1.000000E+00,1.816626E-01
314,************,2.803320E-01,************,1.181399E+00,1.000000E+00,1.813990E-01
315,7.562258E-01,3.141995E-01,************,1.181205E+00,1.000000E+00,1.812051E-01
316,************,************,************,1.181092E+00,1.000000E+00,1.810920E-01
317,************,7.740121E-01,************,1.188093E+00,1.000000E+00,1.880931E-01
318,7.001546E-01,************,************,1.187901E+00,1.000000E+00,1.879008E-01
319,************,************,************,1.187762E+00,1.000000E+00,1.877623E-01
320,4.590254E-01,6.561232E-01,************,1.188610E+00,1.000000E+00,1.886096E-01
321,1.042401E-01,************,************,1.188646E+00,1.000000E+00,1.886460E-01
322,************,5.097468E-01,************,1.188765E+00,1.000000E+00,1.887648E-01
323,7.885275E-01,3.442752E-02,************,1.188493E+00,1.000000E+00,1.884934E-01
324,************,************,************,1.188627E+00,1.000000E+00,1.886269E-01
325,3.429505E-02,7.806233E-01,************,1.188144E+00,1.000000E+00,1.881437E-01
326,4.994263E-01,************,************,1.187694E+00,1.000000E+00,1.876941E-01
327,************,1.013470E-01,************,1.187282E+00,1.000000E+00,1.872823E-01
328,6.303297E-01,4.407250E-01,************,1.186913E+00,1.000000E+00,1.869134E-01
329,************,************,************,1.186593E+00,1.000000E+00,1.865933E-01
330,************,6.591320E-01,************,1.185219E+00,1.000000E+00,1.852192E-01
331,7.211230E-01,************,************,1.184660E+00,1.000000E+00,1.846603E-01
332,************,************,************,1.184181E+00,1.000000E+00,1.841808E-01
333,2.870263E-01,6.902948E-01,************,1.183795E+00,1.000000E+00,1.837953E-01
