xc,omega,STFT_mag
   -2.485323, -4.5312500000E-01,  1.6509599862E+00
   -2.485323, -4.3750000000E-01,  1.6558347010E+00
   -2.485323, -4.2187500000E-01,  1.6605637643E+00
   -2.485323, -4.0625000000E-01,  1.6651446008E+00
   -2.485323, -3.9062500000E-01,  1.6695747030E+00
   -2.485323, -3.7500000000E-01,  1.6738516345E+00
   -2.485323, -3.5937500000E-01,  1.6779730318E+00
   -2.485323, -3.4375000000E-01,  1.6819366075E+00
   -2.485323, -3.2812500000E-01,  1.6857401522E+00
   -2.485323, -3.1250000000E-01,  1.6893815372E+00
   -2.485323, -2.9687500000E-01,  1.6928587166E+00
   -2.485323, -2.8125000000E-01,  1.6961697298E+00
   -2.485323, -2.6562500000E-01,  1.6993127032E+00
   -2.485323, -2.5000000000E-01,  1.7022858526E+00
   -2.485323, -2.3437500000E-01,  1.7050874849E+00
   -2.485323, -2.1875000000E-01,  1.7077160001E+00
   -2.485323, -2.0312500000E-01,  1.7101698931E+00
   -2.485323, -1.8750000000E-01,  1.7124477551E+00
   -2.485323, -1.7187500000E-01,  1.7145482753E+00
   -2.485323, -1.5625000000E-01,  1.7164702424E+00
   -2.485323, -1.4062500000E-01,  1.7182125460E+00
   -2.485323, -1.2500000000E-01,  1.7197741775E+00
   -2.485323, -1.0937500000E-01,  1.7211542316E+00
   -2.485323, -9.3750000000E-02,  1.7223519070E+00
   -2.485323, -7.8125000000E-02,  1.7233665074E+00
   -2.485323, -6.2500000000E-02,  1.7241974425E+00
   -2.485323, -4.6875000000E-02,  1.7248442283E+00
   -2.485323, -3.1250000000E-02,  1.7253064878E+00
   -2.485323, -1.5625000000E-02,  1.7255839514E+00
   -2.485323,  0.0000000000E+00,  1.7256764573E+00
   -2.485323,  1.5625000000E-02,  1.7255839514E+00
   -2.485323,  3.1250000000E-02,  1.7253064878E+00
   -2.485323,  4.6875000000E-02,  1.7248442283E+00
   -2.485323,  6.2500000000E-02,  1.7241974425E+00
   -2.485323,  7.8125000000E-02,  1.7233665074E+00
   -2.485323,  9.3750000000E-02,  1.7223519070E+00
   -2.485323,  1.0937500000E-01,  1.7211542316E+00
   -2.485323,  1.2500000000E-01,  1.7197741775E+00
   -2.485323,  1.4062500000E-01,  1.7182125460E+00
   -2.485323,  1.5625000000E-01,  1.7164702424E+00
   -2.485323,  1.7187500000E-01,  1.7145482753E+00
   -2.485323,  1.8750000000E-01,  1.7124477551E+00
   -2.485323,  2.0312500000E-01,  1.7101698931E+00
   -2.485323,  2.1875000000E-01,  1.7077160001E+00
   -2.485323,  2.3437500000E-01,  1.7050874849E+00
   -2.485323,  2.5000000000E-01,  1.7022858526E+00
   -2.485323,  2.6562500000E-01,  1.6993127032E+00
   -2.485323,  2.8125000000E-01,  1.6961697298E+00
   -2.485323,  2.9687500000E-01,  1.6928587166E+00
   -2.485323,  3.1250000000E-01,  1.6893815372E+00
   -2.485323,  3.2812500000E-01,  1.6857401522E+00
   -2.485323,  3.4375000000E-01,  1.6819366075E+00
   -2.485323,  3.5937500000E-01,  1.6779730318E+00
   -2.485323,  3.7500000000E-01,  1.6738516345E+00
   -2.485323,  3.9062500000E-01,  1.6695747030E+00
   -2.485323,  4.0625000000E-01,  1.6651446008E+00
   -2.485323,  4.2187500000E-01,  1.6605637643E+00
   -2.485323,  4.3750000000E-01,  1.6558347010E+00
   -2.485323,  4.5312500000E-01,  1.6509599862E+00
   -2.485323,  4.6875000000E-01,  1.6459422606E+00
   -2.485323,  4.8437500000E-01,  1.6407842275E+00
   -1.859100, -5.0000000000E-01,  7.6022358321E+00
   -1.859100, -4.8437500000E-01,  7.6424010635E+00
   -1.859100, -4.6875000000E-01,  7.6816063370E+00
   -1.859100, -4.5312500000E-01,  7.7198235827E+00
   -1.859100, -4.3750000000E-01,  7.7570252689E+00
   -1.859100, -4.2187500000E-01,  7.7931844366E+00
   -1.859100, -4.0625000000E-01,  7.8282747336E+00
