x,y,u_numeric,u_exact,abs_error
  0.7000,  0.1250, -3.0975559485E-01,  3.0959740025E-01,  6.1935299510E-01
  0.7250,  0.1250, -2.9114345415E-01,  2.9099476491E-01,  5.8213821905E-01
  0.7500,  0.1250, -2.7073631723E-01,  2.7059805007E-01,  5.4133436730E-01
  0.7750,  0.1250, -2.4866000088E-01,  2.4853300828E-01,  4.9719300916E-01
  0.8000,  0.1250, -2.2505061295E-01,  2.2493567784E-01,  4.4998629079E-01
  0.8250,  0.1250, -2.0005371315E-01,  1.9995154415E-01,  4.0000525730E-01
  0.8500,  0.1250, -1.7382341568E-01,  1.7373464270E-01,  3.4755805838E-01
  0.8750,  0.1250, -1.4652143905E-01,  1.4644660941E-01,  2.9296804846E-01
  0.9000,  0.1250, -1.1831610903E-01,  1.1825568407E-01,  2.3657179310E-01
  0.9250,  0.1250, -8.9381320850E-02,  8.9335673110E-02,  1.7871699396E-01
  0.9500,  0.1250, -5.9895467105E-02,  5.9864878022E-02,  1.1976034513E-01
  0.9750,  0.1250, -3.0040337889E-02,  3.0024996053E-02,  6.0065333942E-02
  1.0000,  0.1250,  0.0000000000E+00,  4.6865204053E-17,  4.6865204053E-17
  0.0000,  0.1500,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.0250,  0.1500, -3.5637884625E-02,  3.5619684079E-02,  7.1257568704E-02
  0.0500,  0.1500, -7.1056049840E-02,  7.1019760960E-02,  1.4207581080E-01
  0.0750,  0.1500, -1.0603613088E-01,  1.0598197740E-01,  2.1201810828E-01
  0.1000,  0.1500, -1.4036246391E-01,  1.4029077970E-01,  2.8065324362E-01
  0.1250,  0.1500, -1.7382341568E-01,  1.7373464270E-01,  3.4755805838E-01
  0.1500,  0.1500, -2.0621268829E-01,  2.0610737385E-01,  4.1232006214E-01
  0.1750,  0.1500, -2.3733059110E-01,  2.3720938451E-01,  4.7453997561E-01
  0.2000,  0.1500, -2.6698527189E-01,  2.6684892043E-01,  5.3383419232E-01
  0.2250,  0.1500, -2.9499389971E-01,  2.9484324402E-01,  5.8983714372E-01
  0.2500,  0.1500, -3.2118379203E-01,  3.2101976096E-01,  6.4220355299E-01
  0.2750,  0.1500, -3.4539347948E-01,  3.4521708433E-01,  6.9061056381E-01
  0.3000,  0.1500, -3.6747370127E-01,  3.6728602957E-01,  7.3475973084E-01
  0.3250,  0.1500, -3.8728832549E-01,  3.8709053431E-01,  7.7437885980E-01
  0.3500,  0.1500, -4.0471518840E-01,  4.0450849719E-01,  8.0922368559E-01
  0.3750,  0.1500, -4.1964684759E-01,  4.1943253066E-01,  8.3907937825E-01
  0.4000,  0.1500, -4.3199124442E-01,  4.3177062311E-01,  8.6376186753E-01
  0.4250,  0.1500, -4.4167227158E-01,  4.4144670609E-01,  8.8311897767E-01
  0.4500,  0.1500, -4.4863024231E-01,  4.4840112333E-01,  8.9703136564E-01
  0.4750,  0.1500, -4.5282225841E-01,  4.5259099854E-01,  9.0541325695E-01
  0.5000,  0.1500, -4.5422247471E-01,  4.5399049974E-01,  9.0821297445E-01
  0.5250,  0.1500, -4.5282225841E-01,  4.5259099854E-01,  9.0541325695E-01
  0.5500,  0.1500, -4.4863024231E-01,  4.4840112333E-01,  8.9703136564E-01
  0.5750,  0.1500, -4.4167227158E-01,  4.4144670609E-01,  8.8311897767E-01
  0.6000,  0.1500, -4.3199124442E-01,  4.3177062311E-01,  8.6376186753E-01
  0.6250,  0.1500, -4.1964684759E-01,  4.1943253066E-01,  8.3907937825E-01
  0.6500,  0.1500, -4.0471518840E-01,  4.0450849719E-01,  8.0922368559E-01
  0.6750,  0.1500, -3.8728832549E-01,  3.8709053431E-01,  7.7437885980E-01
  0.7000,  0.1500, -3.6747370127E-01,  3.6728602957E-01,  7.3475973084E-01
  0.7250,  0.1500, -3.4539347948E-01,  3.4521708433E-01,  6.9061056381E-01
  0.7500,  0.1500, -3.2118379203E-01,  3.2101976096E-01,  6.4220355299E-01
  0.7750,  0.1500, -2.9499389971E-01,  2.9484324402E-01,  5.8983714372E-01
  0.8000,  0.1500, -2.6698527189E-01,  2.6684892043E-01,  5.3383419232E-01
  0.8250,  0.1500, -2.3733059110E-01,  2.3720938451E-01,  4.7453997561E-01
  0.8500,  0.1500, -2.0621268829E-01,  2.0610737385E-01,  4.1232006214E-01
  0.8750,  0.1500, -1.7382341568E-01,  1.7373464270E-01,  3.4755805838E-01
  0.9000,  0.1500, -1.4036246391E-01,  1.4029077970E-01,  2.8065324362E-01
  0.9250,  0.1500, -1.0603613088E-01,  1.0598197740E-01,  2.1201810828E-01
  0.9500,  0.1500, -7.1056049840E-02,  7.1019760960E-02,  1.4207581080E-01
  0.9750,  0.1500, -3.5637884625E-02,  3.5619684079E-02,  7.1257568704E-02
  1.0000,  0.1500,  0.0000000000E+00,  5.5597801235E-17,  5.5597801235E-17
  0.0000,  0.1750,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.0250,  0.1750, -4.1015711952E-02,  4.0994764907E-02,  8.2010476858E-02
  0.0500,  0.1750, -8.1778548400E-02,  8.1736783456E-02,  1.6351533186E-01
  0.0750,  0.1750, -1.2203719290E-01,  1.2197486755E-01,  2.4401206046E-01
  0.1000,  0.1750, -1.6154343753E-01,  1.6146093603E-01,  3.2300437356E-01
  0.1250,  0.1750, -2.0005371315E-01,  1.9995154415E-01,  4.0000525730E-01
  0.1500,  0.1750, -2.3733059110E-01,  2.3720938451E-01,  4.7453997561E-01
  0.1750,  0.1750, -2.7314424703E-01,  2.7300475013E-01,  5.4614899716E-01
  0.2000,  0.1750, -3.0727387786E-01,  3.0711695068E-01,  6.1439082854E-01
  0.2250,  0.1750, -3.3950906304E-01,  3.3933567311E-01,  6.7884473615E-01
  0.2500,  0.1750, -3.6965106196E-01,  3.6946227827E-01,  7.3911334023E-01
  0.2750,  0.1750, -3.9751403916E-01,  3.9731102563E-01,  7.9482506478E-01
  0.3000,  0.1750, -4.2292621011E-01,  4.2271021839E-01,  8.4563642851E-01
  0.3250,  0.1750, -4.4573090035E-01,  4.4550326209E-01,  8.9123416244E-01
  0.3500,  0.1750, -4.6578751137E-01,  4.6554963004E-01,  9.3133714141E-01
  0.3750,  0.1750, -4.8297238748E-01,  4.8272572971E-01,  9.6569811719E-01
  0.4000,  0.1750, -4.9717957823E-01,  4.9692566473E-01,  9.9410524295E-01
  0.4250,  0.1750, -5.0832149154E-01,  5.0806188778E-01,  1.0163833793E+00
  0.4500,  0.1750, -5.1632943383E-01,  5.1606574035E-01,  1.0323951742E+00
  0.4750,  0.1750, -5.2115403346E-01,  5.2088787602E-01,  1.0420419095E+00
  0.5000,  0.1750, -5.2276554517E-01,  5.2249856472E-01,  1.0452641099E+00
